"","ProductType.Accessories","ProductType.Display","ProductType.ExtendedWarranty","ProductType.GameConsole","ProductType.Laptop","ProductType.Netbook","ProductType.PC","ProductType.Printer","ProductType.PrinterSupplies","ProductType.Smartphone","ProductType.Software","ProductType.Tablet","x4StarReviews","x2StarReviews","PositiveServiceReview","Volume","Prediction","Error","Model","Partition"
"52",1,0,0,0,0,0,0,0,0,0,0,0,0.0230685193730773,-0.102606531409737,-0.43841075208443,204,247.1,0.61,"rf","training"
"53",1,0,0,0,0,0,0,0,0,0,0,0,0.128912314143667,-0.125670823772732,0.383182384614054,1896,1549.93,-3.68,"rf","training"
"55",1,0,0,0,0,0,0,0,0,0,0,0,0.107743555189549,-0.102606531409737,-0.360692482396736,904,718.96,-1.9,"rf","training"
"56",0,1,0,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.171799408498723,-0.427308142129045,360,327.92,-0.22,"rf","training"
"58",0,1,0,0,0,0,0,0,0,0,0,0,-0.400306659709283,-0.148735116135728,-0.4606159719952,104,96.52,0.05,"rf","training"
"59",0,1,0,0,0,0,0,0,0,0,0,0,-0.463812936571637,-0.24099228558771,-0.4606159719952,84,81.53,0.11,"rf","training"
"60",0,0,0,0,0,0,0,1,0,0,0,0,-0.146281552259867,-0.125670823772732,-0.4606159719952,296,261.36,-0.25,"rf","training"
"61",0,0,0,0,0,0,0,1,0,0,0,0,0.0230685193730773,-0.194863700861719,-0.449513362039815,232,251.82,0.35,"rf","training"
"62",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,16,22.53,0.21,"rf","training"
"63",0,0,0,0,0,0,0,1,0,0,0,0,-0.611994249250463,-0.217927993224714,-0.50502641181674,32,32.71,0.14,"rf","training"
"64",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,8,11.54,0.17,"rf","training"
"65",0,0,0,0,0,0,0,1,0,0,0,0,-0.400306659709283,-0.125670823772732,-0.4606159719952,80,94.66,0.3,"rf","training"
"68",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.471718581950585,32,38.85,0.21,"rf","training"
"69",0,0,0,0,0,0,0,1,0,0,0,0,0.234756108914257,-0.0103493619577544,-0.416205532173661,396,361.13,-0.25,"rf","training"
"70",0,0,0,0,0,1,0,0,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.50502641181674,4,3.99,0.13,"rf","training"
"71",0,0,0,0,0,0,0,0,0,0,0,1,0.721637564858971,0.197229269309205,-0.371795092352121,592,543.59,-0.4,"rf","training"
"75",0,0,0,0,0,0,0,0,0,0,0,1,-0.654331767158699,-0.264056577950705,-0.50502641181674,12,16,0.18,"rf","training"
"76",0,0,0,0,0,0,0,0,0,1,0,0,-0.146281552259867,-0.0103493619577544,-0.405102922218276,248,295.9,0.66,"rf","training"
"77",0,0,0,0,0,0,0,0,0,1,0,0,-0.315631623892811,-0.217927993224714,-0.449513362039815,72,99,0.43,"rf","training"
"79",0,0,0,0,0,0,0,0,0,1,0,0,-0.0827752753975127,-0.03341365432075,-0.260768992798272,1472,1302.22,-1.74,"rf","training"
"80",0,0,0,1,0,0,0,0,0,0,0,0,1.16618150289545,0.0588435151312322,-0.183050723110577,1684,1449.19,-2.45,"rf","training"
"7",1,0,0,0,0,0,0,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.471718581950585,44,45.25,-0.1,"rf","testing"
"10",1,0,0,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.48282119190597,40,30.51,-0.15,"rf","testing"
"13",1,0,0,0,0,0,0,0,0,0,0,0,-0.506150454479873,-0.264056577950705,-0.48282119190597,40,58.04,-0.02,"rf","testing"
"15",1,0,0,0,0,0,0,0,0,0,0,0,1.82241303047311,-0.102606531409737,0.127822355640201,1396,1341.68,-0.36,"rf","testing"
"16",1,0,0,0,0,0,0,0,0,0,0,0,-0.548487972388109,-0.217927993224714,-0.50502641181674,32,40.93,-0.07,"rf","testing"
"22",0,0,0,0,0,0,0,0,0,0,1,0,3.28305739830725,0.704643701295107,0.105617135729431,1576,1526.44,-0.34,"rf","testing"
"28",0,0,0,0,0,0,0,1,0,0,0,0,-0.506150454479873,-0.24099228558771,-0.449513362039815,88,74.35,-0.17,"rf","testing"
"35",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1231.13,-0.11,"rf","testing"
"37",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1231.13,-0.11,"rf","testing"
"42",0,0,0,0,0,0,1,0,0,0,0,0,-0.527319213433991,-0.264056577950705,-0.449513362039815,84,61.03,-0.22,"rf","testing"
"45",1,0,0,0,0,0,0,0,0,0,0,0,-0.0192689985351587,-0.148735116135728,0.0501040859525063,1536,1355.42,-0.96,"rf","testing"
"54",1,0,0,0,0,0,0,0,0,0,0,0,0.467612457409555,-0.217927993224714,-0.427308142129045,432,332.7,-0.58,"rf","testing"
"57",0,1,0,0,0,0,0,0,0,0,0,0,0.0230685193730773,0.0357792227682367,-0.371795092352121,656,358.03,-1.52,"rf","testing"
"66",0,0,0,0,0,0,0,1,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.50502641181674,0,21.38,-0.01,"rf","testing"
"67",0,0,0,0,0,0,0,1,0,0,0,0,1.20851902080369,0.243357854035197,-0.0387167936905731,824,1294.75,2.12,"rf","testing"
"72",0,0,0,0,0,0,0,0,0,1,0,0,-0.654331767158699,-0.217927993224714,-0.493923801861355,16,19.82,-0.09,"rf","testing"
"74",0,0,0,0,0,0,0,0,0,0,0,1,0.404106180547201,0.0127149304052411,-0.349589872441351,344,984.78,2.92,"rf","testing"
"78",0,0,0,0,0,1,0,0,0,0,0,0,-0.463812936571637,-0.217927993224714,-0.471718581950585,88,64.56,-0.22,"rf","testing"
"110",0,0,0,0,0,0,1,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.48282119190597,12,72.67,0.33,"svmLinear","training"
"210",0,0,0,0,0,0,1,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.493923801861355,8,54.6,0.28,"svmLinear","training"
"310",0,0,0,0,0,0,1,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,47.2,0.25,"svmLinear","training"
"410",0,0,0,0,1,0,0,0,0,0,0,0,-0.273294105984575,-0.194863700861719,-0.427308142129045,196,189.59,0.11,"svmLinear","training"
"510",0,0,0,0,1,0,0,0,0,0,0,0,-0.0192689985351587,-0.102606531409737,-0.427308142129045,232,277.06,0.28,"svmLinear","training"
"610",1,0,0,0,0,0,0,0,0,0,0,0,-0.0404377574892767,-0.0564779466837455,-0.371795092352121,332,313.16,0.07,"svmLinear","training"
"81",1,0,0,0,0,0,0,0,0,0,0,0,-0.273294105984575,-0.148735116135728,-0.449513362039815,132,210.11,0.39,"svmLinear","training"
"91",1,0,0,0,0,0,0,0,0,0,0,0,-0.484981695525755,-0.264056577950705,-0.48282119190597,64,127.89,0.34,"svmLinear","training"
"111",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.171799408498723,-0.48282119190597,84,74.88,0.1,"svmLinear","training"
"121",1,0,0,0,0,0,0,0,0,0,0,0,-0.146281552259867,-0.194863700861719,-0.405102922218276,300,268.23,0.03,"svmLinear","training"
"141",1,0,0,0,0,0,0,0,0,0,0,0,0.636962529042499,-0.079542239046741,-0.0165115737798032,1252,655.11,-1.8,"svmLinear","training"
"171",1,0,0,0,0,0,0,0,0,0,0,0,-0.569656731342227,-0.217927993224714,-0.50502641181674,44,91.13,0.29,"svmLinear","training"
"181",1,0,0,0,0,0,0,0,0,0,0,0,1.44137536929898,0.197229269309205,2.93678267435259,680,1805.44,3.77,"svmLinear","training"
"191",1,0,0,0,0,0,0,0,0,0,0,0,-0.421475418663401,-0.264056577950705,-0.471718581950585,60,153.36,0.44,"svmLinear","training"
"201",0,0,0,0,0,0,0,0,0,0,1,0,-0.633163008204581,-0.217927993224714,-0.4606159719952,80,57.85,0.06,"svmLinear","training"
"211",0,0,0,0,0,0,0,0,0,0,1,0,-0.357969141801047,-0.217927993224714,-0.449513362039815,136,157.25,0.2,"svmLinear","training"
"231",0,0,0,0,0,0,0,0,0,0,1,0,3.91812016693079,8.26973159635765,1.09374942175869,2052,1991.47,-0.06,"svmLinear","training"
"241",0,0,0,0,0,0,0,0,0,0,1,0,-0.294462864938693,-0.24099228558771,-0.4606159719952,116,176.46,0.33,"svmLinear","training"
"251",0,0,0,0,0,0,0,0,0,0,1,0,-0.0192689985351587,-0.194863700861719,-0.427308142129045,308,281.8,0.05,"svmLinear","training"
"261",0,1,0,0,0,0,0,0,0,0,0,0,1.73773799465664,0.243357854035197,-0.0387167936905731,1224,1039.13,-0.46,"svmLinear","training"
"271",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,32,36.54,0.15,"svmLinear","training"
"291",0,0,0,0,0,0,0,0,1,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,0,60.78,0.33,"svmLinear","training"
"301",0,0,0,0,0,0,0,0,1,0,0,0,-0.633163008204581,-0.264056577950705,-0.493923801861355,24,75.88,0.3,"svmLinear","training"
"311",0,0,0,0,0,0,0,0,1,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,20,61.1,0.27,"svmLinear","training"
"321",0,0,1,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.24099228558771,-0.50502641181674,0,60.56,0.33,"svmLinear","training"
"331",0,0,1,0,0,0,0,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,20,53.48,0.24,"svmLinear","training"
"341",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.27,-0.06,"svmLinear","training"
"361",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.27,-0.06,"svmLinear","training"
"381",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.27,-0.06,"svmLinear","training"
"391",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.27,-0.06,"svmLinear","training"
"401",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.27,-0.06,"svmLinear","training"
"411",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.27,-0.06,"svmLinear","training"
"431",0,0,0,0,1,0,0,0,0,0,0,0,-0.379137900755165,-0.148735116135728,-0.43841075208443,88,148.72,0.33,"svmLinear","training"
"441",1,0,0,0,0,0,0,0,0,0,0,0,-0.0616065164433947,-0.171799408498723,-0.371795092352121,368,307.33,-0.06,"svmLinear","training"
"461",1,0,0,0,0,0,0,0,0,0,0,0,0.573456252180145,0.335615023487179,0.161130185506356,1464,679.79,-2.4,"svmLinear","training"
"471",1,0,0,0,0,0,0,0,0,0,0,0,1.08150646707898,0.612386531843125,-0.338487262485966,836,705.76,-0.29,"svmLinear","training"
"481",1,0,0,0,0,0,0,0,0,0,0,0,4.84954556091198,2.13462982780083,0.827286782829451,2140,2345.75,0.8,"svmLinear","training"
"491",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.217927993224714,-0.449513362039815,52,85.36,0.24,"svmLinear","training"
"511",1,0,0,0,0,0,0,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,58.07,0.28,"svmLinear","training"
"521",1,0,0,0,0,0,0,0,0,0,0,0,0.0230685193730773,-0.102606531409737,-0.43841075208443,204,316.27,0.5,"svmLinear","training"
"531",1,0,0,0,0,0,0,0,0,0,0,0,0.128912314143667,-0.125670823772732,0.383182384614054,1896,596.46,-4.07,"svmLinear","training"
"551",1,0,0,0,0,0,0,0,0,0,0,0,0.107743555189549,-0.102606531409737,-0.360692482396736,904,368.82,-1.6,"svmLinear","training"
"561",0,1,0,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.171799408498723,-0.427308142129045,360,286.66,-0.1,"svmLinear","training"
"581",0,1,0,0,0,0,0,0,0,0,0,0,-0.400306659709283,-0.148735116135728,-0.4606159719952,104,172.98,0.36,"svmLinear","training"
"591",0,1,0,0,0,0,0,0,0,0,0,0,-0.463812936571637,-0.24099228558771,-0.4606159719952,84,152.06,0.35,"svmLinear","training"
"601",0,0,0,0,0,0,0,1,0,0,0,0,-0.146281552259867,-0.125670823772732,-0.4606159719952,296,229.34,-0.08,"svmLinear","training"
"611",0,0,0,0,0,0,0,1,0,0,0,0,0.0230685193730773,-0.194863700861719,-0.449513362039815,232,292.72,0.33,"svmLinear","training"
"621",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,16,33.26,0.19,"svmLinear","training"
"631",0,0,0,0,0,0,0,1,0,0,0,0,-0.611994249250463,-0.217927993224714,-0.50502641181674,32,54.81,0.21,"svmLinear","training"
"641",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,8,36.23,0.22,"svmLinear","training"
"651",0,0,0,0,0,0,0,1,0,0,0,0,-0.400306659709283,-0.125670823772732,-0.4606159719952,80,140.62,0.33,"svmLinear","training"
"681",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.471718581950585,32,43.11,0.17,"svmLinear","training"
"691",0,0,0,0,0,0,0,1,0,0,0,0,0.234756108914257,-0.0103493619577544,-0.416205532173661,396,373.99,0.06,"svmLinear","training"
"701",0,0,0,0,0,1,0,0,0,0,0,0,-0.675500526112817,-0.24099228558771,-0.50502641181674,4,64.99,0.33,"svmLinear","training"
"711",0,0,0,0,0,0,0,0,0,0,0,1,0.721637564858971,0.197229269309205,-0.371795092352121,592,586.39,0.12,"svmLinear","training"
"751",0,0,0,0,0,0,0,0,0,0,0,1,-0.654331767158699,-0.264056577950705,-0.50502641181674,12,72.7,0.33,"svmLinear","training"
"761",0,0,0,0,0,0,0,0,0,1,0,0,-0.146281552259867,-0.0103493619577544,-0.405102922218276,248,276.24,0.23,"svmLinear","training"
"771",0,0,0,0,0,0,0,0,0,1,0,0,-0.315631623892811,-0.217927993224714,-0.449513362039815,72,206.78,0.57,"svmLinear","training"
"791",0,0,0,0,0,0,0,0,0,1,0,0,-0.0827752753975127,-0.03341365432075,-0.260768992798272,1472,341.4,-3.52,"svmLinear","training"
"801",0,0,0,1,0,0,0,0,0,0,0,0,1.16618150289545,0.0588435151312322,-0.183050723110577,1684,1623.34,-0.06,"svmLinear","training"
"73",1,0,0,0,0,0,0,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.471718581950585,44,86.81,0.39,"svmLinear","testing"
"101",1,0,0,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.48282119190597,40,68.74,0.34,"svmLinear","testing"
"131",1,0,0,0,0,0,0,0,0,0,0,0,-0.506150454479873,-0.264056577950705,-0.48282119190597,40,120.5,0.52,"svmLinear","testing"
"151",1,0,0,0,0,0,0,0,0,0,0,0,1.82241303047311,-0.102606531409737,0.127822355640201,1396,1112.13,-0.78,"svmLinear","testing"
"161",1,0,0,0,0,0,0,0,0,0,0,0,-0.548487972388109,-0.217927993224714,-0.50502641181674,32,98.52,0.47,"svmLinear","testing"
"221",0,0,0,0,0,0,0,0,0,0,1,0,3.28305739830725,0.704643701295107,0.105617135729431,1576,1580.51,0.25,"svmLinear","testing"
"281",0,0,0,0,0,0,0,1,0,0,0,0,-0.506150454479873,-0.24099228558771,-0.449513362039815,88,108.51,0.31,"svmLinear","testing"
"351",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.27,0.02,"svmLinear","testing"
"371",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.27,0.02,"svmLinear","testing"
"421",0,0,0,0,0,0,1,0,0,0,0,0,-0.527319213433991,-0.264056577950705,-0.449513362039815,84,112.09,0.34,"svmLinear","testing"
"451",1,0,0,0,0,0,0,0,0,0,0,0,-0.0192689985351587,-0.148735116135728,0.0501040859525063,1536,446.54,-3.65,"svmLinear","testing"
"541",1,0,0,0,0,0,0,0,0,0,0,0,0.467612457409555,-0.217927993224714,-0.427308142129045,432,476.39,0.39,"svmLinear","testing"
"571",0,1,0,0,0,0,0,0,0,0,0,0,0.0230685193730773,0.0357792227682367,-0.371795092352121,656,344.6,-0.87,"svmLinear","testing"
"661",0,0,0,0,0,0,0,1,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.50502641181674,0,40.65,0.38,"svmLinear","testing"
"671",0,0,0,0,0,0,0,1,0,0,0,0,1.20851902080369,0.243357854035197,-0.0387167936905731,824,822.24,0.23,"svmLinear","testing"
"721",0,0,0,0,0,0,0,0,0,1,0,0,-0.654331767158699,-0.217927993224714,-0.493923801861355,16,75.36,0.45,"svmLinear","testing"
"741",0,0,0,0,0,0,0,0,0,0,0,1,0.404106180547201,0.0127149304052411,-0.349589872441351,344,484.57,0.74,"svmLinear","testing"
"781",0,0,0,0,0,1,0,0,0,0,0,0,-0.463812936571637,-0.217927993224714,-0.471718581950585,88,148.46,0.45,"svmLinear","testing"
"112",0,0,0,0,0,0,1,0,0,0,0,0,-0.611994249250463,-0.264056577950705,-0.48282119190597,12,72.34,0.39,"svmRadial","training"
"212",0,0,0,0,0,0,1,0,0,0,0,0,-0.654331767158699,-0.264056577950705,-0.493923801861355,8,66.64,0.39,"svmRadial","training"
"312",0,0,0,0,0,0,1,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,12,64.29,0.36,"svmRadial","training"
"412",0,0,0,0,1,0,0,0,0,0,0,0,-0.273294105984575,-0.194863700861719,-0.427308142129045,196,162.71,0.05,"svmRadial","training"
"512",0,0,0,0,1,0,0,0,0,0,0,0,-0.0192689985351587,-0.102606531409737,-0.427308142129045,232,203.22,0.07,"svmRadial","training"
"612",1,0,0,0,0,0,0,0,0,0,0,0,-0.0404377574892767,-0.0564779466837455,-0.371795092352121,332,324.36,0.15,"svmRadial","training"
"82",1,0,0,0,0,0,0,0,0,0,0,0,-0.273294105984575,-0.148735116135728,-0.449513362039815,132,210.67,0.46,"svmRadial","training"
"92",1,0,0,0,0,0,0,0,0,0,0,0,-0.484981695525755,-0.264056577950705,-0.48282119190597,64,120.05,0.38,"svmRadial","training"
"113",1,0,0,0,0,0,0,0,0,0,0,0,-0.633163008204581,-0.171799408498723,-0.48282119190597,84,75.61,0.14,"svmRadial","training"
"122",1,0,0,0,0,0,0,0,0,0,0,0,-0.146281552259867,-0.194863700861719,-0.405102922218276,300,265.22,0.05,"svmRadial","training"
"142",1,0,0,0,0,0,0,0,0,0,0,0,0.636962529042499,-0.079542239046741,-0.0165115737798032,1252,682.99,-1.88,"svmRadial","training"
"172",1,0,0,0,0,0,0,0,0,0,0,0,-0.569656731342227,-0.217927993224714,-0.50502641181674,44,89.48,0.34,"svmRadial","training"
"182",1,0,0,0,0,0,0,0,0,0,0,0,1.44137536929898,0.197229269309205,2.93678267435259,680,1107.64,1.71,"svmRadial","training"
"192",1,0,0,0,0,0,0,0,0,0,0,0,-0.421475418663401,-0.264056577950705,-0.471718581950585,60,144.54,0.48,"svmRadial","training"
"202",0,0,0,0,0,0,0,0,0,0,1,0,-0.633163008204581,-0.217927993224714,-0.4606159719952,80,108.92,0.28,"svmRadial","training"
"213",0,0,0,0,0,0,0,0,0,0,1,0,-0.357969141801047,-0.217927993224714,-0.449513362039815,136,165.3,0.28,"svmRadial","training"
"232",0,0,0,0,0,0,0,0,0,0,1,0,3.91812016693079,8.26973159635765,1.09374942175869,2052,1991.46,-0.04,"svmRadial","training"
"242",0,0,0,0,0,0,0,0,0,0,1,0,-0.294462864938693,-0.24099228558771,-0.4606159719952,116,176.66,0.39,"svmRadial","training"
"252",0,0,0,0,0,0,0,0,0,0,1,0,-0.0192689985351587,-0.194863700861719,-0.427308142129045,308,247.3,-0.04,"svmRadial","training"
"262",0,1,0,0,0,0,0,0,0,0,0,0,1.73773799465664,0.243357854035197,-0.0387167936905731,1224,1163.64,-0.04,"svmRadial","training"
"272",0,0,0,0,0,0,0,1,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,32,67.98,0.3,"svmRadial","training"
"292",0,0,0,0,0,0,0,0,1,0,0,0,-0.675500526112817,-0.24099228558771,-0.493923801861355,0,60.27,0.39,"svmRadial","training"
"302",0,0,0,0,0,0,0,0,1,0,0,0,-0.633163008204581,-0.264056577950705,-0.493923801861355,24,64.68,0.32,"svmRadial","training"
"313",0,0,0,0,0,0,0,0,1,0,0,0,-0.675500526112817,-0.264056577950705,-0.493923801861355,20,59.83,0.32,"svmRadial","training"
"322",0,0,1,0,0,0,0,0,0,0,0,0,-0.654331767158699,-0.24099228558771,-0.50502641181674,0,60.63,0.39,"svmRadial","training"
"332",0,0,1,0,0,0,0,0,0,0,0,0,-0.675500526112817,-0.264056577950705,-0.50502641181674,20,54.77,0.3,"svmRadial","training"
"342",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.48,-0.04,"svmRadial","training"
"362",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.48,-0.04,"svmRadial","training"
"382",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.48,-0.04,"svmRadial","training"
"392",0,0,1,0,0,0,0,0,0,0,0,0,-0.103944034351631,-0.194863700861719,2.60370437569104,1232,1171.48,-0.04,"svmRadial","training"
